Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     62 | (423.0,1150.0)= 5099 (418.3,1148.0)=    0 (413.7,1145.8)=    0 (408.9,1144.2)=    0 (404.5,1141.7)=    0 (399.9,1138.9)=    0 (395.4,1136.0)=    0 (390.5,1132.8)=    0 (386.0,1129.1)=    0 (381.7,1125.7)=    0 
     63 | (2243.0,1093.0)= 5048 (2238.8,1090.4)=    0 (2235.3,1088.1)=    0 (2231.3,1085.6)=    0 (2227.0,1083.2)=    0 (2223.2,1079.6)=    0 (2219.4,1076.8)=    0 (2215.2,1073.2)=    0 (2211.3,1069.1)=    0 (2208.0,1065.1)=    0 
     64 | (2353.0,1670.0)= 4966 (2348.3,1667.0)=    0 (2343.2,1664.4)=    0 (2338.4,1661.3)=    0 (2333.5,1657.9)=    0 (2329.3,1654.0)=    0 (2324.2,1650.1)=    0 (2319.5,1645.9)=    0 (2315.2,1641.5)=    0 (2311.0,1636.9)=    0 
     65 | (1628.0,1331.0)= 4921 (1623.5,1328.6)=    0 (1618.9,1326.2)=    0 (1614.2,1323.7)=    0 (1609.8,1321.1)=    0 (1605.7,1317.8)=    0 (1601.1,1314.3)=    0 (1596.5,1310.6)=    0 (1592.3,1306.4)=    0 (1588.0,1302.5)=    0 
     66 | (1670.0,765.0)= 4875 (1665.9,762.6)=    0 (1662.3,760.5)=    0 (1658.3,758.3)=    0 (1654.0,755.7)=    0 (1650.3,752.5)=    0 (1646.3,749.5)=    0 (1642.0,745.8)=    0 (1638.3,741.8)=    0 (1634.8,738.0)=    0 
     67 | (2294.0,1699.0)= 4875 (2289.2,1696.2)=    0 (2284.4,1693.1)=    0 (2279.4,1690.4)=    0 (2275.0,1686.9)=    0 (2270.3,1683.1)=    0 (2265.7,1679.1)=    0 (2260.7,1675.2)=    0 (2256.6,1670.7)=    0 (2252.4,1666.2)=    0 
     68 | (1520.0,1573.0)= 4788 (1515.5,1570.5)=    0 (1511.0,1568.2)=    0 (1506.6,1565.8)=    0 (1501.6,1562.8)=    0 (1497.4,1559.3)=    0 (1493.3,1556.0)=    0 (1488.3,1552.2)=    0 (1484.2,1548.0)=    0 (1481.3,1544.2)=    0 
     69 | (2412.0,1675.0)= 4780 (2407.0,1672.3)=    0 (2402.2,1669.3)=    0 (2397.4,1666.3)=    0 (2392.9,1662.7)=    0 (2388.2,1658.9)=    0 (2383.5,1654.9)=    0 (2378.5,1650.8)=    0 (2374.2,1646.3)=    0 (2370.0,1641.9)=    0 
     70 | (1706.0,758.0)= 4735 (1701.7,755.6)=    0 (1697.8,753.5)=    0 (1694.0,751.1)=    0 (1689.4,748.6)=    0 (1685.8,745.4)=    0 (1682.3,742.3)=    0 (1677.8,738.6)=    0 (1673.6,734.8)=    0 (1670.5,730.8)=    0 
     71 | (1668.0,1545.0)= 4727 (1663.4,1542.5)=    0 (1658.9,1540.1)=    0 (1654.5,1537.6)=    0 (1650.0,1534.9)=    0 (1645.8,1531.1)=    0 (1641.4,1527.7)=    0 (1636.6,1523.9)=    0 (1632.5,1519.8)=    0 (1628.9,1515.9)=    0 
     72 | (3665.0,922.0)= 4721 (3659.9,919.2)=    0 (3655.5,916.8)=    0 (3650.1,914.2)=    0 (3645.6,911.4)=    0 (3639.8,907.9)=    0 (3635.1,904.5)=    0 (3630.1,900.7)=    0 (3625.9,896.5)=    0 (3621.1,892.8)=    0 
     73 | (1615.0,1921.0)= 4699 (1610.5,1918.4)=    0 (1606.3,1915.8)=    0 (1602.0,1913.3)=    0 (1597.6,1910.0)=    0 (1593.5,1906.6)=    0 (1589.1,1902.8)=    0 (1584.7,1898.9)=    0 (1580.9,1894.7)=    0 (1577.0,1890.4)=    0 
     74 | (1572.0,1172.0)= 4609 (1567.4,1169.8)=    0 (1562.9,1167.4)=    0 (1558.4,1165.2)=    0 (1553.5,1162.1)=    0 (1549.2,1158.6)=    0 (1544.7,1155.5)=    0 (1539.7,1151.7)=    0 (1535.3,1147.6)=    0 (1532.0,1143.7)=    0 
     75 | ( 37.0,838.0)= 4585 ( 31.7,835.9)=    0 ( 27.1,834.4)=    0 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 
     76 | (1577.0,1335.0)= 4454 (1572.3,1332.5)=    0 (1567.8,1330.2)=    0 (1563.2,1327.7)=    0 (1558.8,1325.0)=    0 (1554.2,1321.6)=    0 (1549.9,1318.4)=    0 (1545.1,1314.7)=    0 (1540.8,1310.7)=    0 (1537.2,1306.7)=    0 
     77 | (2245.0,1108.0)= 4406 (2240.8,1105.7)=    0 (2236.9,1103.4)=    0 (2233.0,1101.4)=    0 (2229.0,1098.6)=    0 (2225.0,1095.4)=    0 (2221.5,1092.0)=    0 (2216.9,1088.1)=    0 (2213.4,1084.4)=    0 (2210.1,1080.4)=    0 
     78 | (2153.0,594.0)= 4380 (2148.7,591.5)=    0 (2145.0,589.3)=    0 (2140.9,587.0)=    0 (2136.8,584.6)=    0 (2133.0,581.4)=    0 (2129.4,578.3)=    0 (2125.1,574.5)=    0 (2121.3,570.4)=    0 (2117.5,566.5)=    0 
